60,39,22,2023-05-02,
61,37,0,2023-05-15,にんじん
62,43,40,2023-05-03,知らない食べ物
63,47,20,2023-05-25,"add by はせ"
64,38,22,2023-05-02,aaaa
65,35,10,2023-05-17,"add by hase"
66,31,100000,2023-05-16,
67,31,1000,2023-05-31,"add by hase"
68,40,20000,2023-05-17,
69,37,40,2023-05-24,"add by hase"
70,36,22,2023-05-07,
71,41,50,2023-05-23,"add by hase"
72,48,2147483647,2023-05-03,
73,33,200,2023-05-17,"add by hase"
74,4,300,2023-05-17,"add by hase"
75,41,2,2023-05-03,
76,38,400,2023-05-24,"add by hase"
77,34,32,2023-05-27,
78,43,50,2023-05-17,"add by hase"
79,36,80,2023-05-17,"add by hase"
80,4,50,2023-05-17,"add by hase"
81,45,40,2023-05-17,"add by hase"
82,32,12,2023-05-16,test
83,39,20,2023-05-10,
